OBJECTID,GEOID,STATE,COUNTY,TRACT,LOWMOD,LOWMODUNIV,LOWMODPCT,UCLMOD,UCLMODU,UCLMODPCT,SHAPE_Length,SHAPE_Area
37218,47157020521,47,157,020521,2530,3665,69.03,NA,NA,NA,0.137200375758489,7.6965924993363e-4
37511,47157021334,47,157,021334,1415,3815,37.09,NA,NA,NA,0.0893821343961167,3.2069766630767e-4
37519,47157008120,47,157,008120,3190,4870,65.5,NA,NA,NA,0.0799325421521602,3.1640611894093e-4
37520,47157008200,47,157,008200,4400,5640,78.01,NA,NA,NA,0.0751318731161372,2.4571203009351e-4
37566,47157004600,47,157,004600,745,830,89.76,NA,NA,NA,0.0475678784268019,1.2672768954951e-4
37587,47157021140,47,157,021140,1075,5020,21.41,NA,NA,NA,0.0904037406335856,4.4966160714906e-4
37595,47157007900,47,157,007900,4155,5810,71.51,NA,NA,NA,0.0680198443350011,2.7068215121956e-4
37596,47157008000,47,157,008000,2900,4880,59.43,NA,NA,NA,0.0654791939117138,2.6504691127031e-4
37597,47157020634,47,157,020634,305,3105,9.82,NA,NA,NA,0.067548072778505,2.1929879696191e-4
37600,47157021746,47,157,021746,1950,4165,46.82,NA,NA,NA,0.0751620151132944,2.6832315337459e-4
37601,47157020642,47,157,020642,775,7495,10.34,NA,NA,NA,0.246953062443237,0.00250114471011117
37746,47157980300,47,157,980300,NA,NA,0,NA,NA,NA,0.618819463263235,0.0101265894725957
37764,47157020621,47,157,020621,2500,7405,33.76,NA,NA,NA,0.10032245944936,5.2873292372309e-4
37789,47157020622,47,157,020622,1080,4175,25.87,NA,NA,NA,0.101420553863527,5.0200941370952e-4
37790,47157008110,47,157,008110,2155,3390,63.57,NA,NA,NA,0.0648090926763366,1.9178781612834e-4
37810,47157021122,47,157,021122,1945,5055,38.48,NA,NA,NA,0.0870524358060198,2.903593888669e-4
37811,47157980100,47,157,980100,NA,NA,0,NA,NA,NA,0.246140452954149,0.00189017144508904
37812,47157000900,47,157,000900,2485,3080,80.68,NA,NA,NA,0.061575252185968,2.3401780649798e-4
37813,47157001100,47,157,001100,2925,3795,77.08,NA,NA,NA,0.0568183916628924,1.7328323516339e-4
37828,47157005000,47,157,005000,1135,1230,92.28,NA,NA,NA,0.0380507967534517,8.67837330719801e-5
37846,47157021540,47,157,021540,460,10580,4.35,NA,NA,NA,0.264491871539438,0.00183591115466003
37877,47157008500,47,157,008500,365,4180,8.73,NA,NA,NA,0.109512326589624,6.4451818892284e-4
37878,47157008600,47,157,008600,2190,6290,34.82,NA,NA,NA,0.0956858020667283,5.3009516118855e-4
